   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.457695, 0, 1.83759e-07, 7.82822e-28, 1.41421, -1.83759e-07, 0, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 7.82822e-28, 8.71198e-10, 7.82822e-28, 7.82822e-28, 1.14322e-11, 7.82822e-28, 2.80067e-11, 7.82822e-28, 1.82849e-07, 7.82822e-28, 7.82822e-28, 7.82822e-28
0.465565, 0, 2.61179e-07, 3.28306e-27, 1.41421, -2.61179e-07, 0, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 3.28306e-27, 1.24539e-09, 3.28306e-27, 3.28306e-27, 1.85873e-11, 3.28306e-27, 4.53144e-11, 3.28306e-27, 2.5987e-07, 3.28306e-27, 3.28306e-27, 3.28306e-27
0.473436, 0, 3.68596e-07, 1.31378e-26, 1.41421, -3.68596e-07, 0, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.31378e-26, 1.76915e-09, 1.31378e-26, 1.31378e-26, 3.01441e-11, 1.31378e-26, 7.31383e-11, 1.31378e-26, 3.66724e-07, 1.31378e-26, 1.31378e-26, 1.31378e-26
0.481306, 0, 5.16568e-07, 5.02255e-26, 1.41421, -5.16568e-07, 0, 5.02255e-26, 5.02255e-26, 5.02255e-26, 5.02255e-26, 5.02255e-26, 5.02255e-26, 5.02255e-26, 5.02255e-26, 6.36311e-12, 5.02255e-26, 5.02255e-26, 2.49781e-09, 5.02255e-26, 5.02255e-26, 4.87367e-11, 5.02255e-26, 1.1769e-10, 5.02255e-26, 5.13898e-07, 5.02255e-26, 5.02255e-26, 5.02255e-26
0.489177, 0, 7.18953e-07, 1.83756e-25, 1.41421, -7.18953e-07, 0, 1.83756e-25, 1.83756e-25, 1.83756e-25, 1.83756e-25, 1.83756e-25, 1.83756e-25, 1.83756e-25, 1.83756e-25, 2.18839e-11, 1.83756e-25, 1.83756e-25, 3.50551e-09, 1.83756e-25, 1.83756e-25, 7.85122e-11, 1.83756e-25, 1.88689e-10, 1.83756e-25, 7.15158e-07, 1.83756e-25, 1.83756e-25, 1.83756e-25
0.497048, 0, 9.93819e-07, 6.48492e-25, 1.41421, -9.93819e-07, 0, 6.48492e-25, 6.48492e-25, 6.48492e-25, 6.48492e-25, 6.48492e-25, 6.48492e-25, 6.48492e-25, 6.48492e-25, 5.85342e-11, 6.48492e-25, 6.48492e-25, 4.891e-09, 6.48492e-25, 6.48492e-25, 1.25955e-10, 6.48492e-25, 3.01223e-10, 6.48492e-25, 9.88442e-07, 6.48492e-25, 6.48492e-25, 6.48492e-25
0.504918, 0, 1.36806e-06, 4.70283e-10, 1.41421, -1.36806e-06, 4.70283e-10, 4.70308e-10, 4.70345e-10, 4.703e-10, 1.08201e-09, 4.88335e-10, 4.73072e-10, 5.2922e-10, 4.75468e-10, 9.10387e-10, 1.21117e-09, 1.54589e-09, 7.25551e-09, 4.74032e-10, 4.73244e-10, 6.7141e-10, 4.70543e-10, 9.48784e-10, 4.70285e-10, 1.35759e-06, 4.70283e-10, 4.70283e-10, 5.06624e-10
0.512789, 0, 1.87316e-06, 1.59449e-09, 1.41421, -1.87316e-06, 1.59449e-09, 1.59458e-09, 1.59471e-09, 1.59455e-09, 3.68705e-09, 1.65624e-09, 1.60403e-09, 1.7961e-09, 1.61223e-09, 2.94293e-09, 4.12887e-09, 5.27386e-09, 1.09549e-08, 1.60732e-09, 1.60462e-09, 1.91406e-09, 1.60028e-09, 2.35039e-09, 1.5945e-09, 1.85262e-06, 1.59449e-09, 1.59449e-09, 1.71881e-09
0.520659, 0, 2.55433e-06, 4.21859e-09, 1.41421, -2.55433e-06, 4.21859e-09, 4.21881e-09, 4.21915e-09, 4.21874e-09, 9.78897e-09, 4.38296e-09, 4.24398e-09, 4.75527e-09, 4.2658e-09, 7.66916e-09, 1.09651e-08, 1.40131e-08, 1.70607e-08, 4.25272e-09, 4.24554e-09, 4.72354e-09, 4.23834e-09, 5.40533e-09, 4.21861e-09, 2.51305e-06, 4.21859e-09, 4.21859e-09, 4.5495e-09
0.52853, 0, 3.47443e-06, 1.01957e-08, 1.41421, -3.47443e-06, 1.01957e-08, 1.01963e-08, 1.01971e-08, 1.01961e-08, 2.37184e-08, 1.05947e-08, 1.02574e-08, 1.14985e-08, 1.03103e-08, 1.83888e-08, 2.65735e-08, 3.39728e-08, 2.77196e-08, 1.02786e-08, 1.02611e-08, 1.09889e-08, 1.02498e-08, 1.20463e-08, 1.01957e-08, 3.3895e-06, 1.01957e-08, 1.01957e-08, 1.0999e-08
0.5364, 0, 4.72563e-06, 2.34938e-08, 1.41421, -4.72563e-06, 2.34938e-08, 2.34951e-08, 2.3497e-08, 2.34947e-08, 5.47455e-08, 2.44161e-08, 2.36363e-08, 2.65048e-08, 2.37587e-08, 4.21206e-08, 6.13439e-08, 7.84439e-08, 4.72793e-08, 2.36854e-08, 2.36451e-08, 2.47321e-08, 2.36283e-08, 2.6359e-08, 2.3494e-08, 4.54838e-06, 2.34938e-08, 2.34938e-08, 2.53504e-08
