   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.420294, 0, 6.1364e-08, 1.81223e-30, 1.41421, -6.1364e-08, 0, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 1.81223e-30, 3.18937e-10, 1.81223e-30, 1.81223e-30, 3.16519e-12, 1.81223e-30, 1.81223e-30, 6.10419e-08, 1.81223e-30, 1.81223e-30, 1.81223e-30
0.428161, 0, 8.90365e-08, 8.83108e-30, 1.41421, -8.90365e-08, 0, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 8.83108e-30, 4.6423e-10, 8.83108e-30, 8.83108e-30, 5.12501e-12, 8.83108e-30, 8.83108e-30, 8.85671e-08, 8.83108e-30, 8.83108e-30, 8.83108e-30
0.436028, 0, 1.28281e-07, 4.09467e-29, 1.41421, -1.28281e-07, 0, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 4.09467e-29, 6.71317e-10, 4.09467e-29, 4.09467e-29, 8.29266e-12, 4.09467e-29, 4.09467e-29, 1.27602e-07, 4.09467e-29, 4.09467e-29, 4.09467e-29
0.443895, 0, 1.83538e-07, 1.84473e-28, 1.41421, -1.83538e-07, 0, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 1.84473e-28, 9.64589e-10, 1.84473e-28, 1.84473e-28, 1.34048e-11, 1.84473e-28, 1.84473e-28, 1.8256e-07, 1.84473e-28, 1.84473e-28, 1.84473e-28
0.451762, 0, 2.60788e-07, 7.97481e-28, 1.41421, -2.60788e-07, 0, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 7.97481e-28, 1.37732e-09, 7.97481e-28, 7.97481e-28, 2.16384e-11, 7.97481e-28, 7.97481e-28, 2.5939e-07, 7.97481e-28, 7.97481e-28, 7.97481e-28
0.459629, 0, 3.68025e-07, 3.29219e-27, 1.41421, -3.68025e-07, 0, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 3.29219e-27, 1.95461e-09, 3.29219e-27, 3.29219e-27, 3.48644e-11, 3.29219e-27, 3.29219e-27, 3.66036e-07, 3.29219e-27, 3.29219e-27, 3.29219e-27
0.467496, 0, 5.15853e-07, 1.29814e-26, 1.41421, -5.15853e-07, 0, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 1.29814e-26, 2.75728e-09, 1.29814e-26, 1.29814e-26, 5.60419e-11, 1.29814e-26, 1.29814e-26, 5.1304e-07, 1.29814e-26, 1.29814e-26, 1.29814e-26
0.475364, 0, 7.1824e-07, 4.89367e-26, 1.41421, -7.1824e-07, 0, 4.89367e-26, 4.89367e-26, 4.89367e-26, 4.89367e-26, 4.89367e-26, 4.89367e-26, 5.6394e-12, 4.89367e-26, 4.89367e-26, 4.89367e-26, 3.8668e-09, 4.89367e-26, 4.89367e-26, 8.98227e-11, 4.89367e-26, 4.89367e-26, 7.14278e-07, 4.89367e-26, 4.89367e-26, 4.89367e-26
0.483231, 0, 9.93433e-07, 1.7666e-25, 1.41421, -9.93433e-07, 0, 1.7666e-25, 1.7666e-25, 1.7666e-25, 1.7666e-25, 1.7666e-25, 1.7666e-25, 1.91766e-11, 1.7666e-25, 1.7666e-25, 1.7666e-25, 5.39177e-09, 1.7666e-25, 1.7666e-25, 1.43473e-10, 1.7666e-25, 1.7666e-25, 9.87878e-07, 1.7666e-25, 1.7666e-25, 1.7666e-25
0.491098, 0, 1.36511e-06, 6.17104e-25, 1.41421, -1.36511e-06, 0, 6.17104e-25, 6.17104e-25, 6.17104e-25, 6.17104e-25, 6.17104e-25, 6.17104e-25, 5.06821e-11, 6.17104e-25, 6.17104e-25, 6.17104e-25, 7.4761e-09, 6.17104e-25, 6.17104e-25, 2.28264e-10, 6.17104e-25, 6.17104e-25, 1.35736e-06, 6.17104e-25, 6.17104e-25, 6.17104e-25
0.498965, 0, 1.86595e-06, 4.39439e-10, 1.41421, -1.86595e-06, 4.39439e-10, 4.39468e-10, 4.39517e-10, 1.00989e-09, 4.55172e-10, 4.81255e-10, 4.4258e-10, 8.2375e-10, 5.14887e-10, 4.6071e-10, 9.30422e-10, 1.07491e-08, 4.46796e-10, 4.4174e-10, 8.00989e-10, 4.39439e-10, 4.39442e-10, 1.85365e-06, 4.39439e-10, 4.39439e-10, 4.58193e-10
