   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.556097, 0, 1.8208e-08, 1.41011e-27, 1.41421, -1.8208e-08, 0, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 1.41011e-27, 3.08776e-10, 1.41011e-27, 1.99521e-12, 7.78714e-12, 1.41011e-27, 1.78894e-08, 1.41011e-27, 1.41011e-27
0.563666, 0, 3.00596e-08, 7.28522e-27, 1.41421, -3.00596e-08, 0, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 7.28522e-27, 5.13191e-10, 7.28522e-27, 3.92908e-12, 1.46277e-11, 7.28522e-27, 2.95278e-08, 7.28522e-27, 7.28522e-27
0.571236, 0, 4.89527e-08, 2.78589e-26, 1.41421, -4.89527e-08, 0, 2.78589e-26, 2.78589e-26, 2.78589e-26, 2.78589e-26, 2.78589e-26, 2.78589e-26, 2.50576e-13, 2.78589e-26, 2.78589e-26, 8.42597e-10, 2.78589e-26, 7.68088e-12, 2.76073e-11, 2.78589e-26, 4.80745e-08, 2.78589e-26, 2.78589e-26
0.578806, 0, 7.8656e-08, 1.02598e-25, 1.41421, -7.8656e-08, 0, 1.02598e-25, 1.02598e-25, 1.02598e-25, 1.02598e-25, 1.02598e-25, 1.02598e-25, 1.12711e-12, 1.02598e-25, 1.02598e-25, 1.36723e-09, 1.02598e-25, 1.48873e-11, 5.23929e-11, 1.02598e-25, 7.72204e-08, 1.02598e-25, 1.02598e-25
0.586376, 0, 1.24722e-07, 3.6591e-25, 1.41421, -1.24722e-07, 0, 3.6591e-25, 3.6591e-25, 3.6591e-25, 3.6591e-25, 3.6591e-25, 3.6591e-25, 4.02986e-12, 3.6591e-25, 3.6591e-25, 2.19337e-09, 3.6591e-25, 2.8562e-11, 9.98615e-11, 3.6591e-25, 1.22397e-07, 3.6591e-25, 3.6591e-25
0.593946, 0, 1.9651e-07, 2.92395e-10, 1.41421, -1.9651e-07, 2.92395e-10, 2.92413e-10, 2.92439e-10, 2.92429e-10, 2.92458e-10, 2.92882e-10, 2.92751e-10, 3.17618e-10, 2.97281e-10, 1.25195e-09, 3.77254e-09, 2.9242e-10, 3.4656e-10, 4.83162e-10, 2.92396e-10, 1.91788e-07, 2.92395e-10, 2.9913e-10
0.601516, 0, 3.07457e-07, 1.30387e-09, 1.41421, -3.07457e-07, 1.30387e-09, 1.30395e-09, 1.30406e-09, 1.30402e-09, 1.30415e-09, 1.30605e-09, 1.30546e-09, 1.39836e-09, 1.32569e-09, 5.58912e-09, 6.76696e-09, 1.30398e-09, 1.4053e-09, 1.66816e-09, 1.30387e-09, 2.97092e-07, 1.30387e-09, 1.33395e-09
0.609086, 0, 4.80972e-07, 4.62582e-09, 1.41421, -4.80972e-07, 4.62582e-09, 4.62612e-09, 4.62652e-09, 4.62637e-09, 4.62683e-09, 4.63356e-09, 4.63147e-09, 4.93664e-09, 4.70331e-09, 1.98444e-08, 1.31131e-08, 4.62622e-09, 4.81319e-09, 5.31917e-09, 4.62584e-09, 4.55874e-07, 4.62582e-09, 4.73264e-09
0.616655, 0, 7.61012e-07, 1.50311e-08, 1.41421, -7.61012e-07, 1.50311e-08, 1.50321e-08, 1.50334e-08, 1.50329e-08, 1.50344e-08, 1.50562e-08, 1.50495e-08, 1.5989e-08, 1.5283e-08, 6.4507e-08, 2.80835e-08, 1.50324e-08, 1.53723e-08, 1.63427e-08, 1.50311e-08, 6.95221e-07, 1.50311e-08, 1.53784e-08
0.624225, 0, 1.23952e-06, 4.61422e-08, 1.41421, -1.23952e-06, 4.61422e-08, 4.61452e-08, 4.61492e-08, 4.61477e-08, 4.61523e-08, 4.62195e-08, 4.61987e-08, 4.8955e-08, 4.69159e-08, 1.98073e-07, 6.60168e-08, 4.61462e-08, 4.67547e-08, 4.86015e-08, 4.61424e-08, 1.05983e-06, 4.61422e-08, 4.72086e-08
