   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.514773, 0, 1.50581e-09, 2.28118e-31, 1.41421, -1.50581e-09, 0, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 2.28118e-31, 1.488e-11, 2.28118e-31, 2.28118e-31, 1.85809e-14, 2.28118e-31, 1.49091e-09, 2.28118e-31, 2.28118e-31, 2.28118e-31
0.522654, 0, 2.735e-09, 1.315e-30, 1.41421, -2.735e-09, 0, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 1.315e-30, 2.70898e-11, 1.315e-30, 1.315e-30, 3.73681e-14, 1.315e-30, 2.70787e-09, 1.315e-30, 1.315e-30, 1.315e-30
0.530535, 0, 4.88956e-09, 7.13753e-30, 1.41421, -4.88956e-09, 0, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 7.13753e-30, 4.858e-11, 7.13753e-30, 7.13753e-30, 7.51828e-14, 7.13753e-30, 4.8409e-09, 7.13753e-30, 7.13753e-30, 7.13753e-30
0.538416, 0, 8.60552e-09, 3.65713e-29, 1.41421, -8.60552e-09, 0, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 3.65713e-29, 8.58417e-11, 3.65713e-29, 3.65713e-29, 1.51359e-13, 3.65713e-29, 8.51952e-09, 3.65713e-29, 3.65713e-29, 3.65713e-29
0.546297, 0, 1.49126e-08, 1.77407e-28, 1.41421, -1.49126e-08, 0, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.77407e-28, 1.49516e-10, 1.77407e-28, 1.77407e-28, 3.04739e-13, 1.77407e-28, 1.47628e-08, 1.77407e-28, 1.77407e-28, 1.77407e-28
0.554178, 0, 2.54496e-08, 8.17174e-28, 1.41421, -2.54496e-08, 0, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 8.17174e-28, 2.568e-10, 8.17174e-28, 8.17174e-28, 6.12821e-13, 8.17174e-28, 2.51922e-08, 8.17174e-28, 8.17174e-28, 8.17174e-28
0.562059, 0, 4.27807e-08, 3.58462e-27, 1.41421, -4.27807e-08, 0, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 3.58462e-27, 4.35119e-10, 3.58462e-27, 3.58462e-27, 1.22874e-12, 3.58462e-27, 4.23443e-08, 3.58462e-27, 3.58462e-27, 3.58462e-27
0.56994, 0, 7.08507e-08, 1.50157e-26, 1.41421, -7.08507e-08, 0, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 1.50157e-26, 7.27637e-10, 1.50157e-26, 1.50157e-26, 2.45125e-12, 1.50157e-26, 7.01206e-08, 1.50157e-26, 1.50157e-26, 1.50157e-26
0.577821, 0, 1.15629e-07, 6.0222e-26, 1.41421, -1.15629e-07, 0, 6.0222e-26, 6.0222e-26, 6.0222e-26, 6.0222e-26, 6.0222e-26, 6.0222e-26, 2.81524e-13, 6.0222e-26, 6.0222e-26, 6.0222e-26, 1.20145e-09, 6.0222e-26, 6.0222e-26, 4.85479e-12, 6.0222e-26, 1.14423e-07, 6.0222e-26, 6.0222e-26, 6.0222e-26
0.585702, 0, 1.86004e-07, 2.31802e-25, 1.41421, -1.86004e-07, 0, 2.31802e-25, 2.31802e-25, 2.31802e-25, 2.31802e-25, 2.31802e-25, 2.31802e-25, 1.2897e-12, 2.31802e-25, 2.31802e-25, 2.31802e-25, 1.95961e-09, 2.31802e-25, 2.31802e-25, 9.52561e-12, 2.31802e-25, 1.84033e-07, 2.31802e-25, 2.31802e-25, 2.31802e-25
