   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.516446, 0, 5.91875e-06, 1.21074e-07, 1.41421, -5.91875e-06, 1.24999e-07, 1.21074e-07, 1.21077e-07, 1.21087e-07, 1.2485e-07, 1.25704e-07, 1.21922e-07, 1.23972e-07, 1.21666e-07, 6.28669e-07, 1.30388e-07, 1.21086e-07, 1.22385e-07, 2.70532e-06, 1.21075e-07, 2.79406e-06, 1.21074e-07, 1.2659e-07
0.524311, 0, 8.31082e-06, 2.33361e-07, 1.41421, -8.31082e-06, 2.40793e-07, 2.33361e-07, 2.33367e-07, 2.33386e-07, 2.40511e-07, 2.42127e-07, 2.35254e-07, 2.38848e-07, 2.34481e-07, 1.19444e-06, 2.4533e-07, 2.33383e-07, 2.35264e-07, 3.89926e-06, 2.33363e-07, 3.62762e-06, 2.33361e-07, 2.43805e-07
0.532176, 0, 1.17974e-05, 4.41771e-07, 1.41421, -1.17974e-05, 4.556e-07, 4.41771e-07, 4.41783e-07, 4.41818e-07, 4.55075e-07, 4.58081e-07, 4.45716e-07, 4.51981e-07, 4.43857e-07, 2.22986e-06, 4.57094e-07, 4.41813e-07, 4.44517e-07, 5.61122e-06, 4.41775e-07, 4.74253e-06, 4.41771e-07, 4.61203e-07
0.540041, 0, 1.69494e-05, 8.21787e-07, 1.41421, -1.69494e-05, 8.47075e-07, 8.21787e-07, 8.21808e-07, 8.21872e-07, 8.46116e-07, 8.51612e-07, 8.2969e-07, 8.40457e-07, 8.256e-07, 4.09158e-06, 8.41331e-07, 8.21864e-07, 8.25725e-07, 8.06798e-06, 8.21794e-07, 6.26441e-06, 8.21787e-07, 8.57321e-07
0.547905, 0, 2.4658e-05, 1.50254e-06, 1.41421, -2.4658e-05, 1.548e-06, 1.50254e-06, 1.50258e-06, 1.50269e-06, 1.54628e-06, 1.55616e-06, 1.51778e-06, 1.5361e-06, 1.5094e-06, 7.38043e-06, 1.52738e-06, 1.50268e-06, 1.50816e-06, 1.15994e-05, 1.50255e-06, 8.39011e-06, 1.50254e-06, 1.56642e-06
0.55577, 0, 3.63107e-05, 2.70072e-06, 1.41421, -3.63107e-05, 2.78106e-06, 2.70072e-06, 2.70079e-06, 2.70099e-06, 2.77801e-06, 2.79548e-06, 2.72972e-06, 2.76004e-06, 2.71284e-06, 1.30892e-05, 2.73217e-06, 2.70096e-06, 2.70868e-06, 1.66875e-05, 2.70074e-06, 1.14297e-05, 2.70072e-06, 2.81362e-06
0.563635, 0, 5.4055e-05, 4.77282e-06, 1.41421, -5.4055e-05, 4.91244e-06, 4.77282e-06, 4.77293e-06, 4.77329e-06, 4.90714e-06, 4.93749e-06, 4.82724e-06, 4.8759e-06, 4.79387e-06, 2.28261e-05, 4.8125e-06, 4.77324e-06, 4.78405e-06, 2.4038e-05, 4.77285e-06, 1.58713e-05, 4.77282e-06, 4.96901e-06
0.5715, 0, 8.11854e-05, 8.29396e-06, 1.41421, -8.11854e-05, 8.53256e-06, 8.29396e-06, 8.29416e-06, 8.29476e-06, 8.52351e-06, 8.57536e-06, 8.39469e-06, 8.47011e-06, 8.32994e-06, 3.91456e-05, 8.34386e-06, 8.29468e-06, 8.30971e-06, 3.46847e-05, 8.29402e-06, 2.24778e-05, 8.29396e-06, 8.62923e-06
0.579365, 0, 0.000122701, 1.41737e-05, 1.41421, -0.000122701, 1.45747e-05, 1.41737e-05, 1.4174e-05, 1.4175e-05, 1.45595e-05, 1.46466e-05, 1.43576e-05, 1.44697e-05, 1.42341e-05, 6.60247e-05, 1.42362e-05, 1.41749e-05, 1.41957e-05, 5.01396e-05, 1.41738e-05, 3.24328e-05, 1.41737e-05, 1.47372e-05
0.587229, 0, 0.000186078, 2.3822e-05, 1.41421, -0.000186078, 2.44849e-05, 2.3822e-05, 2.38226e-05, 2.38243e-05, 2.44597e-05, 2.46038e-05, 2.41531e-05, 2.43114e-05, 2.3922e-05, 0.000109533, 2.39002e-05, 2.3824e-05, 2.38525e-05, 7.2603e-05, 2.38222e-05, 4.75388e-05, 2.3822e-05, 2.47535e-05
