   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.609844, 0, 1.81826e-05, 4.1895e-07, 1.41421, -1.81826e-05, 4.45458e-07, 4.1895e-07, 4.18958e-07, 4.18961e-07, 4.19044e-07, 4.24179e-07, 4.21258e-07, 4.19357e-07, 4.28678e-07, 4.98799e-07, 4.19271e-07, 4.19946e-07, 4.58551e-07, 4.18951e-07, 1.7969e-05, 4.1895e-07, 4.67514e-07
0.618061, 0, 2.83816e-05, 1.37463e-06, 1.41421, -2.83816e-05, 1.45681e-06, 1.37463e-06, 1.37466e-06, 1.37466e-06, 1.37492e-06, 1.39059e-06, 1.38179e-06, 1.37589e-06, 1.40479e-06, 1.49841e-06, 1.37563e-06, 1.37646e-06, 1.45077e-06, 1.37463e-06, 2.78913e-05, 1.37463e-06, 1.52519e-06
0.626278, 0, 4.51216e-05, 4.2569e-06, 1.41421, -4.51216e-05, 4.49927e-06, 4.2569e-06, 4.25697e-06, 4.25699e-06, 4.25776e-06, 4.30329e-06, 4.278e-06, 4.26062e-06, 4.34585e-06, 4.44683e-06, 4.25983e-06, 4.2602e-06, 4.40181e-06, 4.2569e-06, 4.39329e-05, 4.2569e-06, 4.70094e-06
0.634495, 0, 7.44423e-05, 1.25416e-05, 1.41421, -7.44423e-05, 1.32233e-05, 1.25416e-05, 1.25418e-05, 1.25419e-05, 1.2544e-05, 1.26722e-05, 1.2601e-05, 1.25521e-05, 1.27918e-05, 1.28301e-05, 1.25499e-05, 1.25475e-05, 1.28137e-05, 1.25416e-05, 7.14834e-05, 1.25416e-05, 1.37905e-05
0.642712, 0, 0.000129908, 3.52397e-05, 1.41421, -0.000129908, 3.70699e-05, 3.52397e-05, 3.52403e-05, 3.52404e-05, 3.52462e-05, 3.56038e-05, 3.53991e-05, 3.52678e-05, 3.59114e-05, 3.56736e-05, 3.52619e-05, 3.525e-05, 3.57433e-05, 3.52397e-05, 0.000122523, 3.52397e-05, 3.85928e-05
0.650929, 0.973932, 0.000242215, 9.45183e-05, 1.72451, 0.973689, 9.9211e-05, 9.45183e-05, 9.45198e-05, 9.45202e-05, 9.4535e-05, 9.5478e-05, 9.4927e-05, 9.45903e-05, 9.62405e-05, 9.51647e-05, 9.45751e-05, 9.45362e-05, 9.54367e-05, 9.45184e-05, 0.000224103, 9.45183e-05, 0.000103115
0.659146, 0.0260684, 0.000479643, 0.000242106, 1.4234, 0.0255887, 0.0002536, 0.000242106, 0.00024211, 0.000242111, 0.000242147, 0.000244532, 0.000243107, 0.000242282, 0.000246324, 0.00024306, 0.000242245, 0.000242137, 0.000243756, 0.000242106, 0.000436445, 0.000242106, 0.000263164
0.667363, 0, 0.000988901, 0.000592444, 1.41421, -0.000988901, 0.00061935, 0.000592444, 0.000592453, 0.000592455, 0.00059254, 0.000598361, 0.000594787, 0.000592857, 0.000602319, 0.00059384, 0.00059277, 0.000592496, 0.000595368, 0.000592445, 0.000889342, 0.000592444, 0.000641736
0.67558, 0, 0.00207176, 0.00138537, 1.41421, -0.00207176, 0.00144558, 0.00138537, 0.00138539, 0.0013854, 0.00138559, 0.00139936, 0.00139062, 0.0013863, 0.00140747, 0.0013874, 0.0013861, 0.00138546, 0.00139049, 0.00138538, 0.0018508, 0.00138537, 0.00149567
0.683797, 0, 0.0043194, 0.00309671, 1.41421, -0.0043194, 0.00322552, 0.00309671, 0.00309675, 0.00309676, 0.00309717, 0.00312885, 0.00310793, 0.00309869, 0.00314399, 0.00309964, 0.00309827, 0.00309686, 0.00310557, 0.00309672, 0.00384795, 0.00309671, 0.0033327
