   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.47641, 0, 1.13338e-06, 3.9852e-09, 1.41421, -1.13338e-06, 4.0826e-09, 3.9852e-09, 3.98537e-09, 3.9855e-09, 4.09714e-09, 3.98858e-09, 3.99012e-09, 4.05512e-09, 4.11307e-09, 4.02671e-09, 2.02794e-08, 8.13801e-09, 3.98573e-09, 4.11964e-09, 3.90634e-07, 3.98523e-09, 7.25509e-07, 3.9852e-09, 4.16345e-09
0.484282, 0, 1.54822e-06, 8.82233e-09, 1.41421, -1.54822e-06, 9.02815e-09, 8.82233e-09, 8.82269e-09, 8.82297e-09, 9.05888e-09, 8.82948e-09, 8.83272e-09, 8.9694e-09, 9.09253e-09, 8.91005e-09, 4.32533e-08, 1.42642e-08, 8.82345e-09, 9.0224e-09, 5.7279e-07, 8.82238e-09, 9.42835e-07, 8.82233e-09, 9.19899e-09
0.492154, 0, 2.12155e-06, 1.86162e-08, 1.41421, -2.12155e-06, 1.90379e-08, 1.86162e-08, 1.86169e-08, 1.86175e-08, 1.91008e-08, 1.86308e-08, 1.86375e-08, 1.89163e-08, 1.91698e-08, 1.87959e-08, 8.91619e-08, 2.57195e-08, 1.86185e-08, 1.89125e-08, 8.37101e-07, 1.86163e-08, 1.22236e-06, 1.86162e-08, 1.93879e-08
0.500026, 0, 2.92204e-06, 3.80999e-08, 1.41421, -2.92204e-06, 3.89439e-08, 3.80999e-08, 3.81014e-08, 3.81026e-08, 3.90699e-08, 3.81292e-08, 3.81426e-08, 3.87647e-08, 3.92079e-08, 3.84596e-08, 1.79289e-07, 4.73362e-08, 3.81045e-08, 3.85367e-08, 1.22072e-06, 3.81002e-08, 1.58299e-06, 3.80999e-08, 3.96445e-08
0.507898, 0, 4.05008e-06, 7.61807e-08, 1.41421, -4.05008e-06, 7.78362e-08, 7.61807e-08, 7.61836e-08, 7.61858e-08, 7.80834e-08, 7.62382e-08, 7.62643e-08, 7.75598e-08, 7.83541e-08, 7.68862e-08, 3.53128e-07, 8.81447e-08, 7.61897e-08, 7.68211e-08, 1.77448e-06, 7.61811e-08, 2.05122e-06, 7.61807e-08, 7.92104e-08
0.51577, 0, 5.66229e-06, 1.49305e-07, 1.41421, -5.66229e-06, 1.52492e-07, 1.49305e-07, 1.4931e-07, 1.49315e-07, 1.52968e-07, 1.49415e-07, 1.49466e-07, 1.52893e-07, 1.5349e-07, 1.50663e-07, 6.82581e-07, 1.64743e-07, 1.49322e-07, 1.50239e-07, 2.57433e-06, 1.49305e-07, 2.6655e-06, 1.49305e-07, 1.55138e-07
0.523642, 0, 7.99928e-06, 2.87268e-07, 1.41421, -7.99928e-06, 2.93299e-07, 2.87268e-07, 2.87279e-07, 2.87287e-07, 2.94199e-07, 2.87478e-07, 2.87573e-07, 2.95256e-07, 2.95185e-07, 2.89839e-07, 1.29609e-06, 3.07116e-07, 2.87301e-07, 2.88624e-07, 3.72991e-06, 2.8727e-07, 3.48356e-06, 2.87268e-07, 2.98304e-07
0.531514, 0, 1.14377e-05, 5.43027e-07, 1.41421, -1.14377e-05, 5.54239e-07, 5.43027e-07, 5.43046e-07, 5.43062e-07, 5.55913e-07, 5.43416e-07, 5.43593e-07, 5.59635e-07, 5.57746e-07, 5.47805e-07, 2.41873e-06, 5.68447e-07, 5.43087e-07, 5.44982e-07, 5.40152e-06, 5.4303e-07, 4.59434e-06, 5.43027e-07, 5.63546e-07
0.539386, 0, 1.65695e-05, 1.0089e-06, 1.41421, -1.65695e-05, 1.0294e-06, 1.0089e-06, 1.00894e-06, 1.00897e-06, 1.03246e-06, 1.00962e-06, 1.00994e-06, 1.04213e-06, 1.03581e-06, 1.01764e-06, 4.43742e-06, 1.04134e-06, 1.00901e-06, 1.01171e-06, 7.82482e-06, 1.00891e-06, 6.13748e-06, 1.0089e-06, 1.04641e-06
0.547258, 0, 2.43254e-05, 1.8428e-06, 1.41421, -2.43254e-05, 1.87963e-06, 1.8428e-06, 1.84286e-06, 1.84291e-06, 1.88513e-06, 1.84408e-06, 1.84466e-06, 1.9068e-06, 1.89116e-06, 1.8585e-06, 8.00468e-06, 1.88404e-06, 1.843e-06, 1.8468e-06, 1.13482e-05, 1.84281e-06, 8.33474e-06, 1.8428e-06, 1.91021e-06
