   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.516519, 0, 4.91983e-06, 7.81803e-08, 1.41421, -4.91983e-06, 7.97683e-08, 7.81803e-08, 7.81869e-08, 7.81859e-08, 8.1101e-08, 7.88712e-08, 8.04403e-08, 7.8773e-08, 4.42458e-07, 1.00729e-07, 7.87864e-08, 2.25396e-06, 7.81813e-08, 2.34483e-06, 7.81803e-08, 8.19016e-08
0.524395, 0, 6.91444e-06, 1.53201e-07, 1.41421, -6.91444e-06, 1.56256e-07, 1.53201e-07, 1.53213e-07, 1.53211e-07, 1.5882e-07, 1.54992e-07, 1.57549e-07, 1.54341e-07, 8.54075e-07, 1.8234e-07, 1.54086e-07, 3.26802e-06, 1.53203e-07, 3.04558e-06, 1.53201e-07, 1.6036e-07
0.53227, 0, 9.81585e-06, 2.94614e-07, 1.41421, -9.81585e-06, 3.00387e-07, 2.94614e-07, 2.94638e-07, 2.94634e-07, 3.05233e-07, 2.98597e-07, 3.02831e-07, 2.96769e-07, 1.61899e-06, 3.32126e-07, 2.95901e-07, 4.72727e-06, 2.94618e-07, 3.9757e-06, 2.94614e-07, 3.08143e-07
0.540146, 0, 1.40951e-05, 5.56437e-07, 1.41421, -1.40951e-05, 5.67156e-07, 5.56437e-07, 5.56482e-07, 5.56475e-07, 5.76152e-07, 5.64712e-07, 5.71692e-07, 5.60438e-07, 3.01527e-06, 6.04545e-07, 5.58297e-07, 6.82662e-06, 5.56444e-07, 5.23293e-06, 5.56437e-07, 5.81555e-07
0.548022, 0, 2.04895e-05, 1.03259e-06, 1.41421, -2.04895e-05, 1.05215e-06, 1.03259e-06, 1.03267e-06, 1.03266e-06, 1.06856e-06, 1.04913e-06, 1.06043e-06, 1.03989e-06, 5.51899e-06, 1.09406e-06, 1.03526e-06, 9.84878e-06, 1.0326e-06, 6.96953e-06, 1.03259e-06, 1.07842e-06
0.555897, 0, 3.01529e-05, 1.88318e-06, 1.41421, -3.01529e-05, 1.91826e-06, 1.88318e-06, 1.88333e-06, 1.8833e-06, 1.94769e-06, 1.91503e-06, 1.9331e-06, 1.89627e-06, 9.92921e-06, 1.96143e-06, 1.887e-06, 1.42055e-05, 1.8832e-06, 9.42555e-06, 1.88318e-06, 1.96537e-06
0.563773, 0, 4.48855e-05, 3.37579e-06, 1.41421, -4.48855e-05, 3.43763e-06, 3.37579e-06, 3.37605e-06, 3.37601e-06, 3.48953e-06, 3.4363e-06, 3.4638e-06, 3.39887e-06, 1.75609e-05, 3.47504e-06, 3.38121e-06, 2.04986e-05, 3.37583e-06, 1.29803e-05, 3.37579e-06, 3.5207e-06
0.571649, 0, 6.74734e-05, 5.94879e-06, 1.41421, -6.74734e-05, 6.05597e-06, 5.94879e-06, 5.94924e-06, 5.94917e-06, 6.14592e-06, 6.06217e-06, 6.10133e-06, 5.98879e-06, 3.05348e-05, 6.07424e-06, 5.95645e-06, 2.96091e-05, 5.94886e-06, 1.82317e-05, 5.94879e-06, 6.19995e-06
0.579524, 0, 0.000102188, 1.0306e-05, 1.41421, -0.000102188, 1.04887e-05, 1.0306e-05, 1.03068e-05, 1.03067e-05, 1.06419e-05, 1.05156e-05, 1.05659e-05, 1.03742e-05, 5.22034e-05, 1.04641e-05, 1.03168e-05, 4.28261e-05, 1.03061e-05, 2.61158e-05, 1.0306e-05, 1.0734e-05
0.5874, 0, 0.00015549, 1.75549e-05, 1.41421, -0.00015549, 1.7861e-05, 1.75549e-05, 1.75562e-05, 1.7556e-05, 1.81178e-05, 1.79369e-05, 1.79905e-05, 1.76692e-05, 8.77595e-05, 1.77534e-05, 1.757e-05, 6.2031e-05, 1.75551e-05, 3.80754e-05, 1.75549e-05, 1.82721e-05
