   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.575427, 0, 0.000896076, 0.000431122, 1.41421, -0.000896076, 0.000434223, 0.000431122, 0.000431128, 0.000431145, 0.000431175, 0.000431129, 0.000432654, 0.00043707, 0.00043212, 0.00043132, 0.00043113, 0.000431532, 0.000436296, 0.000431122, 0.000846503, 0.000431122, 0.000463234
0.583385, 0, 0.00135334, 0.000732547, 1.41421, -0.00135334, 0.00073773, 0.000732547, 0.000732557, 0.000732586, 0.000732635, 0.000732559, 0.000735108, 0.000742491, 0.0007338, 0.000732879, 0.00073256, 0.00073312, 0.000739586, 0.000732548, 0.00127261, 0.000732547, 0.000786228
0.591343, 0, 0.00206258, 0.00122293, 1.41421, -0.00206258, 0.00123145, 0.00122293, 0.00122295, 0.001223, 0.00122308, 0.00122295, 0.00122714, 0.00123927, 0.0012245, 0.00122348, 0.00122295, 0.00122373, 0.00123246, 0.00122293, 0.00193263, 0.00122293, 0.00131111
0.599301, 0, 0.00315613, 0.00200613, 1.41421, -0.00315613, 0.00201988, 0.00200613, 0.00200616, 0.00200624, 0.00200637, 0.00200617, 0.00201292, 0.0020325, 0.00200809, 0.00200701, 0.00200617, 0.00200723, 0.00201899, 0.00200614, 0.00294965, 0.00200613, 0.00214848
0.607258, 0, 0.00482702, 0.00323423, 1.41421, -0.00482702, 0.00325604, 0.00323423, 0.00323427, 0.0032344, 0.00323461, 0.00323429, 0.00324501, 0.00327607, 0.00323668, 0.00323563, 0.00323429, 0.00323575, 0.00325151, 0.00323424, 0.00450342, 0.00323423, 0.00346009
0.615216, 0, 0.00735109, 0.00512513, 1.41421, -0.00735109, 0.00515915, 0.00512513, 0.00512519, 0.00512539, 0.00512571, 0.00512521, 0.00514194, 0.00519039, 0.00512817, 0.00512731, 0.00512522, 0.0051272, 0.00514827, 0.00512514, 0.00685118, 0.00512513, 0.00547745
0.623174, 0, 0.0111143, 0.00798408, 1.41421, -0.0111143, 0.00803626, 0.00798408, 0.00798418, 0.00798448, 0.00798497, 0.00798421, 0.00800986, 0.00808418, 0.00798785, 0.00798742, 0.00798422, 0.00798691, 0.008015, 0.00798409, 0.0103534, 0.00798408, 0.00852444
0.631132, 0, 0.0166453, 0.0122292, 1.41421, -0.0166453, 0.0123079, 0.0122292, 0.0122293, 0.0122298, 0.0122305, 0.0122294, 0.0122681, 0.0123802, 0.0122339, 0.0122342, 0.0122294, 0.012233, 0.0122704, 0.0122292, 0.0155046, 0.0122292, 0.0130442
0.63909, 0, 0.0246531, 0.0184203, 1.41421, -0.0246531, 0.018537, 0.0184203, 0.0184205, 0.0184211, 0.0184222, 0.0184205, 0.0184779, 0.0186442, 0.018426, 0.0184277, 0.0184206, 0.0184255, 0.018475, 0.0184203, 0.0229688, 0.0184203, 0.0196292
0.647047, 0, 0.0360668, 0.027289, 1.41421, -0.0360668, 0.0274594, 0.027289, 0.0272893, 0.0272903, 0.0272919, 0.0272894, 0.0273732, 0.0276158, 0.0272961, 0.0272999, 0.0272895, 0.0272961, 0.0273617, 0.0272891, 0.0336181, 0.027289, 0.0290533
0.655005, 0, 0.0520778, 0.0397692, 1.41421, -0.0520778, 0.0400138, 0.0397692, 0.0397697, 0.0397711, 0.0397734, 0.0397698, 0.0398901, 0.0402384, 0.039778, 0.0397849, 0.0397699, 0.0397787, 0.0398654, 0.0397693, 0.0485722, 0.0397692, 0.0423025
0.662963, 0, 0.074179, 0.0570233, 1.41421, -0.074179, 0.0573688, 0.0570233, 0.0570239, 0.0570259, 0.0570292, 0.0570241, 0.057194, 0.0576862, 0.057034, 0.0570454, 0.0570242, 0.057036, 0.0571502, 0.0570233, 0.069237, 0.0570233, 0.0606027
