   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.49938, 0, 1.6327e-06, 3.6329e-09, 1.41421, -1.6327e-06, 3.6329e-09, 3.63373e-09, 4.47509e-09, 4.30257e-09, 1.42717e-08, 6.22401e-08, 5.90845e-09, 7.39231e-09, 2.68096e-08, 1.05574e-08, 3.9754e-09, 3.65256e-09, 2.76603e-07, 4.07868e-09, 1.24886e-06, 3.6329e-09, 3.6329e-09, 6.80489e-09
0.507225, 0, 2.16567e-06, 6.74699e-09, 1.41421, -2.16567e-06, 6.74699e-09, 6.74854e-09, 8.30801e-09, 7.98825e-09, 2.64663e-08, 1.15377e-07, 1.09648e-08, 1.37151e-08, 4.97055e-08, 1.55514e-08, 7.38182e-09, 6.78342e-09, 3.96655e-07, 7.59591e-09, 1.57426e-06, 6.74699e-09, 6.74699e-09, 1.26263e-08
0.51507, 0, 2.89852e-06, 1.23312e-08, 1.41421, -2.89852e-06, 1.23312e-08, 1.23341e-08, 1.51791e-08, 1.45957e-08, 4.83061e-08, 2.1051e-07, 2.00259e-08, 2.50436e-08, 9.07025e-08, 2.34883e-08, 1.34894e-08, 1.23977e-08, 5.66793e-07, 1.39184e-08, 1.98132e-06, 1.23312e-08, 1.23312e-08, 2.30572e-08
0.522915, 0, 3.92198e-06, 2.21919e-08, 1.41421, -3.92198e-06, 2.21919e-08, 2.21969e-08, 2.7308e-08, 2.626e-08, 8.6821e-08, 3.78221e-07, 3.60154e-08, 4.50297e-08, 1.62986e-07, 3.62834e-08, 2.42725e-08, 2.23113e-08, 8.06423e-07, 2.511e-08, 2.49197e-06, 2.21919e-08, 2.21919e-08, 4.14611e-08
0.530761, 0, 5.3753e-06, 3.93385e-08, 1.41421, -5.3753e-06, 3.93385e-08, 3.93475e-08, 4.83921e-08, 4.65375e-08, 1.53705e-07, 6.69362e-07, 6.38006e-08, 7.9752e-08, 2.88487e-07, 5.70779e-08, 4.30204e-08, 3.95499e-08, 1.14305e-06, 4.46198e-08, 3.13591e-06, 3.93385e-08, 3.93385e-08, 7.34372e-08
0.538606, 0, 7.47107e-06, 6.87013e-08, 1.41421, -7.47107e-06, 6.87013e-08, 6.8717e-08, 8.44847e-08, 8.12516e-08, 2.68082e-07, 1.16705e-06, 1.11347e-07, 1.39156e-07, 5.03053e-07, 9.09602e-08, 7.512e-08, 6.90697e-08, 1.61437e-06, 7.81152e-08, 3.95397e-06, 6.87013e-08, 6.87013e-08, 1.28147e-07
0.546451, 0, 1.05341e-05, 1.18221e-07, 1.41421, -1.05341e-05, 1.18221e-07, 1.18248e-07, 1.45333e-07, 1.39779e-07, 4.60698e-07, 2.00485e-06, 1.91474e-07, 2.39241e-07, 8.64305e-07, 1.46063e-07, 1.29247e-07, 1.18854e-07, 2.2723e-06, 1.34755e-07, 5.00372e-06, 1.18221e-07, 1.18221e-07, 2.20331e-07
0.554296, 0, 1.50575e-05, 2.00471e-07, 1.41421, -1.50575e-05, 2.00471e-07, 2.00516e-07, 2.46358e-07, 2.36958e-07, 7.8013e-07, 3.39369e-06, 3.24454e-07, 4.05303e-07, 1.46326e-06, 2.35186e-07, 2.19132e-07, 2.01542e-07, 3.18813e-06, 2.29089e-07, 6.36701e-06, 2.00471e-07, 2.00471e-07, 3.73297e-07
0.562141, 0, 2.17861e-05, 3.35015e-07, 1.41421, -2.17861e-05, 3.35015e-07, 3.35091e-07, 4.11549e-07, 3.95871e-07, 1.30182e-06, 5.66095e-06, 5.41805e-07, 6.76652e-07, 2.4412e-06, 3.78171e-07, 3.66139e-07, 3.36801e-07, 4.45957e-06, 3.83841e-07, 8.16361e-06, 3.35015e-07, 3.35015e-07, 6.23269e-07
0.569986, 0, 3.1828e-05, 5.5178e-07, 1.41421, -3.1828e-05, 5.5178e-07, 5.51905e-07, 6.77578e-07, 6.51809e-07, 2.1409e-06, 9.30591e-06, 8.91677e-07, 1.11332e-06, 4.01367e-06, 6.05274e-07, 6.02939e-07, 5.54716e-07, 6.22028e-06, 6.33907e-07, 1.05634e-05, 5.5178e-07, 5.5178e-07, 1.02558e-06
0.577831, 0, 4.68177e-05, 8.95751e-07, 1.41421, -4.68177e-05, 8.95751e-07, 8.95954e-07, 1.09953e-06, 1.05779e-06, 3.47e-06, 1.50768e-05, 1.44636e-06, 1.8054e-06, 6.50375e-06, 9.61876e-07, 9.78625e-07, 9.00508e-07, 8.65253e-06, 1.03195e-06, 1.3814e-05, 8.95751e-07, 8.95751e-07, 1.66327e-06
0.585676, 0, 6.9133e-05, 1.43336e-06, 1.41421, -6.9133e-05, 1.43336e-06, 1.43369e-06, 1.75872e-06, 1.69208e-06, 5.5434e-06, 2.40747e-05, 2.31246e-06, 2.88572e-06, 1.03871e-05, 1.51489e-06, 1.56568e-06, 1.44096e-06, 1.20041e-05, 1.65609e-06, 1.82717e-05, 1.43336e-06, 1.43336e-06, 2.65878e-06
0.593522, 0, 0.000102182, 2.26101e-06, 1.41421, -0.000102182, 2.26101e-06, 2.26152e-06, 2.77303e-06, 2.66814e-06, 8.72899e-06, 3.78918e-05, 3.64444e-06, 4.54657e-06, 1.63515e-05, 2.36128e-06, 2.46923e-06, 2.27296e-06, 1.66105e-05, 2.62018e-06, 2.4447e-05, 2.26101e-06, 2.26101e-06, 4.18949e-06
0.601367, 0, 0.000150779, 3.51605e-06, 1.41421, -0.000150779, 3.51605e-06, 3.51684e-06, 4.31032e-06, 4.14762e-06, 1.35494e-05, 5.87876e-05, 5.66208e-06, 7.0615e-06, 2.53737e-05, 3.6391e-06, 3.83905e-06, 3.5346e-06, 2.29237e-05, 4.08731e-06, 3.30633e-05, 3.51605e-06, 3.51605e-06, 6.50764e-06
0.609212, 0, 0.000221609, 5.39073e-06, 1.41421, -0.000221609, 5.39073e-06, 5.39194e-06, 6.6053e-06, 6.3565e-06, 2.07335e-05, 8.99109e-05, 8.67238e-06, 1.08124e-05, 3.88149e-05, 5.54141e-06, 5.88464e-06, 5.41909e-06, 3.15493e-05, 6.2869e-06, 4.51344e-05, 5.39073e-06, 5.39073e-06, 9.96552e-06
