   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.483274, 0, 3.44923e-07, 1.8851e-26, 1.41421, -3.44923e-07, 1.8851e-26, 0, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 1.8851e-26, 3.58322e-09, 1.8851e-26, 1.29209e-10, 3.69436e-10, 1.8851e-26, 3.40841e-07, 1.8851e-26, 1.8851e-26, 1.8851e-26
0.491156, 0, 4.84149e-07, 7.14769e-26, 1.41421, -4.84149e-07, 7.14769e-26, 0, 7.14769e-26, 7.14769e-26, 7.14769e-26, 7.14769e-26, 7.14769e-26, 7.14769e-26, 7.14769e-26, 1.22399e-12, 7.14769e-26, 7.14769e-26, 5.07165e-09, 7.14769e-26, 2.10733e-10, 6.01398e-10, 7.14769e-26, 4.78264e-07, 7.14769e-26, 7.14769e-26, 7.14769e-26
0.499039, 0, 6.74721e-07, 2.59491e-25, 1.41421, -6.74721e-07, 2.59491e-25, 0, 2.59491e-25, 2.59491e-25, 2.59491e-25, 2.59491e-25, 2.59491e-25, 2.59491e-25, 2.59491e-25, 4.27155e-12, 2.59491e-25, 2.59491e-25, 7.13411e-09, 2.59491e-25, 3.42251e-10, 9.75521e-10, 2.59491e-25, 6.66264e-07, 2.59491e-25, 2.59491e-25, 2.59491e-25
0.506921, 0, 9.38232e-07, 9.12092e-25, 1.41421, -9.38232e-07, 4.9014e-12, 0, 4.41124e-14, 2.5416e-13, 9.88471e-14, 5.05604e-10, 1.31232e-11, 1.1414e-12, 1.76585e-11, 6.77737e-11, 2.84142e-09, 9.50446e-10, 9.97508e-09, 3.83702e-12, 5.53206e-10, 1.57558e-09, 1.49172e-15, 9.21696e-07, 9.12092e-25, 9.12092e-25, 2.52779e-11
0.514803, 0, 1.29908e-06, 2.11376e-10, 1.41421, -1.29908e-06, 2.28402e-10, 2.11376e-10, 2.11529e-10, 2.12259e-10, 2.1172e-10, 1.96771e-09, 2.56963e-10, 2.15341e-10, 2.72717e-10, 4.35238e-10, 1.00817e-08, 3.51297e-09, 1.40766e-08, 2.24705e-10, 1.10091e-09, 2.7433e-09, 2.11381e-10, 1.26641e-06, 2.11376e-10, 2.11376e-10, 2.99185e-10
0.522686, 0, 1.79462e-06, 7.2778e-10, 1.41421, -1.79462e-06, 7.73857e-10, 7.2778e-10, 7.28195e-10, 7.30169e-10, 7.28709e-10, 5.48078e-09, 8.51146e-10, 7.3851e-10, 8.93782e-10, 1.32355e-09, 2.74389e-08, 9.66259e-09, 1.98887e-08, 7.63851e-10, 2.14998e-09, 4.77309e-09, 7.27794e-10, 1.72837e-06, 7.2778e-10, 7.2778e-10, 9.65409e-10
0.530568, 0, 2.48167e-06, 1.95793e-09, 1.41421, -2.48167e-06, 2.07168e-09, 1.95793e-09, 1.95895e-09, 1.96383e-09, 1.96022e-09, 1.36913e-08, 2.26248e-09, 1.98442e-09, 2.36773e-09, 3.4156e-09, 6.7898e-08, 2.40147e-08, 2.82871e-08, 2.04697e-09, 4.21781e-09, 8.37961e-09, 1.95796e-09, 2.34393e-06, 1.95793e-09, 1.95793e-09, 2.54455e-09
0.53845, 0, 3.4505e-06, 4.81383e-09, 1.41421, -3.4505e-06, 5.08106e-09, 4.81383e-09, 4.81624e-09, 4.82769e-09, 4.81922e-09, 3.23795e-08, 5.52931e-09, 4.87606e-09, 5.77658e-09, 8.21706e-09, 1.59729e-07, 5.66325e-08, 4.07904e-08, 5.02303e-09, 8.38148e-09, 1.49359e-08, 4.81391e-09, 3.15951e-06, 4.81383e-09, 4.81383e-09, 6.192e-09
0.546333, 0, 4.85339e-06, 1.12744e-08, 1.41421, -4.85339e-06, 1.18809e-08, 1.12744e-08, 1.12799e-08, 1.13059e-08, 1.12867e-08, 7.38295e-08, 1.28981e-08, 1.14157e-08, 1.34592e-08, 1.89563e-08, 3.62825e-07, 1.28867e-07, 6.01621e-08, 1.17492e-08, 1.68684e-08, 2.71079e-08, 1.12746e-08, 4.23549e-06, 1.12744e-08, 1.12744e-08, 1.44019e-08
0.554215, 0, 6.95848e-06, 2.55225e-08, 1.41421, -6.95848e-06, 2.68596e-08, 2.55225e-08, 2.55346e-08, 2.55919e-08, 2.55495e-08, 1.6345e-07, 2.91025e-08, 2.58339e-08, 3.03397e-08, 4.3e-08, 8.00653e-07, 2.84801e-07, 9.15925e-08, 2.65693e-08, 3.42323e-08, 5.01231e-08, 2.55229e-08, 5.65119e-06, 2.55225e-08, 2.55225e-08, 3.24183e-08
