   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.362954, 0, 2.027e-10, 5.39967e-39, 1.41421, -2.027e-10, 0, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 5.39967e-39, 2.43837e-12, 5.39967e-39, 1.58291e-14, 5.39967e-39, 5.39967e-39, 2.00246e-10, 5.39967e-39, 5.39967e-39, 5.39967e-39
0.370835, 0, 3.27633e-10, 5.68685e-38, 1.41421, -3.27633e-10, 0, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 5.68685e-38, 3.94303e-12, 5.68685e-38, 2.69148e-14, 5.68685e-38, 5.68685e-38, 3.23663e-10, 5.68685e-38, 5.68685e-38, 5.68685e-38
0.378717, 0, 5.24989e-10, 5.4339e-37, 1.41421, -5.24989e-10, 0, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 5.4339e-37, 6.32182e-12, 5.4339e-37, 4.55988e-14, 5.4339e-37, 5.4339e-37, 5.18621e-10, 5.4339e-37, 5.4339e-37, 5.4339e-37
0.386599, 0, 8.33993e-10, 4.7422e-36, 1.41421, -8.33993e-10, 0, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 4.7422e-36, 1.005e-11, 4.7422e-36, 7.70207e-14, 4.7422e-36, 4.7422e-36, 8.23866e-10, 4.7422e-36, 4.7422e-36, 4.7422e-36
0.394481, 0, 1.31356e-09, 3.79561e-35, 1.41421, -1.31356e-09, 0, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 3.79561e-35, 1.58432e-11, 3.79561e-35, 1.29782e-13, 3.79561e-35, 3.79561e-35, 1.29759e-09, 3.79561e-35, 3.79561e-35, 3.79561e-35
0.402362, 0, 2.05135e-09, 2.79866e-34, 1.41421, -2.05135e-09, 0, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.79866e-34, 2.47689e-11, 2.79866e-34, 2.18277e-13, 2.79866e-34, 2.79866e-34, 2.02636e-09, 2.79866e-34, 2.79866e-34, 2.79866e-34
0.410244, 0, 3.17654e-09, 1.94123e-33, 1.41421, -3.17654e-09, 0, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 1.94123e-33, 3.84066e-11, 1.94123e-33, 3.66603e-13, 1.94123e-33, 1.94123e-33, 3.13777e-09, 1.94123e-33, 1.94123e-33, 1.94123e-33
0.418126, 0, 4.87778e-09, 1.16954e-32, 1.41421, -4.87778e-09, 0, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 1.16954e-32, 5.90721e-11, 1.16954e-32, 6.15087e-13, 1.16954e-32, 1.16954e-32, 4.81809e-09, 1.16954e-32, 1.16954e-32, 1.16954e-32
0.426007, 0, 7.42797e-09, 7.08776e-32, 1.41421, -7.42797e-09, 0, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 7.08776e-32, 9.01337e-11, 7.08776e-32, 1.03117e-12, 7.08776e-32, 7.08776e-32, 7.3368e-09, 7.08776e-32, 7.08776e-32, 7.08776e-32
0.433889, 0, 1.12184e-08, 3.85448e-31, 1.41421, -1.12184e-08, 0, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 3.85448e-31, 1.3645e-10, 3.85448e-31, 1.72753e-12, 3.85448e-31, 3.85448e-31, 1.10802e-08, 3.85448e-31, 3.85448e-31, 3.85448e-31
0.441771, 0, 1.68047e-08, 2.04268e-30, 1.41421, -1.68047e-08, 0, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04268e-30, 2.04975e-10, 2.04268e-30, 2.89196e-12, 2.04268e-30, 2.04268e-30, 1.65968e-08, 2.04268e-30, 2.04268e-30, 2.04268e-30
0.449653, 0, 2.49691e-08, 1.0316e-29, 1.41421, -2.49691e-08, 0, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 1.0316e-29, 3.0558e-10, 1.0316e-29, 4.83658e-12, 1.0316e-29, 1.0316e-29, 2.46587e-08, 1.0316e-29, 1.0316e-29, 1.0316e-29
0.457534, 0, 3.68032e-08, 4.92798e-29, 1.41421, -3.68032e-08, 0, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.92798e-29, 4.52183e-10, 4.92798e-29, 8.0783e-12, 4.92798e-29, 4.92798e-29, 3.63429e-08, 4.92798e-29, 4.92798e-29, 4.92798e-29
